hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
25.8,High,1962,Moderate,53.78,Moderate,Medium-Term
27.2,Low,4372,Moderate,49.66,Moderate,Medium-Term
12.5,Moderate,3380,Poor,38.55,Low,Monitor
39.2,Low,3937,Moderate,41.48,Moderate,Medium-Term
64.2,Very High,1450,Good,64.62,High,Short-Term
64.7,Moderate,2311,Good,43.56,Moderate,Medium-Term
36.3,High,329,Good,36.04,Low,Monitor
54.2,Low,1835,Poor,38.74,Low,Monitor
91.0,Moderate,4619,Good,70.54,High,Short-Term
3.2,High,796,Poor,40.59,Moderate,Medium-Term
56.4,Very High,474,Good,50.17,Moderate,Medium-Term
94.4,Low,3021,Moderate,67.46,High,Short-Term
50.0,High,3300,Poor,63.64,High,Short-Term
13.0,Low,2814,Moderate,37.15,Low,Monitor
50.4,Moderate,294,Poor,51.31,Moderate,Medium-Term
47.7,Low,2476,Good,31.52,Low,Monitor
46.3,Low,1997,Good,39.61,Low,Monitor
65.4,Moderate,4209,Poor,75.36,High,Short-Term
60.9,High,3765,Good,59.3,Moderate,Medium-Term
36.0,Very High,427,Poor,59.95,Moderate,Medium-Term
38.8,Moderate,714,Good,35.51,Low,Monitor
99.4,Low,222,Good,50.44,Moderate,Medium-Term
31.0,Low,4187,Good,37.38,Low,Monitor
17.0,High,1422,Good,33.62,Low,Monitor
36.3,Low,682,Good,29.3,Low,Monitor
46.1,Very High,2197,Moderate,63.32,High,Short-Term
14.0,Low,4759,Moderate,31.57,Low,Monitor
85.9,Very High,3450,Poor,91.78,Critical,Immediate
12.9,High,4298,Poor,64.19,High,Short-Term
37.4,Very High,4244,Moderate,62.28,High,Short-Term
87.6,Low,567,Poor,57.83,Moderate,Medium-Term
70.0,Low,1366,Good,37.11,Low,Monitor
15.8,Very High,697,Good,38.03,Low,Monitor
46.2,Low,2958,Moderate,42.5,Moderate,Medium-Term
53.5,Very High,993,Good,49.08,Moderate,Medium-Term
10.8,Very High,3648,Good,48.29,Moderate,Medium-Term
6.4,High,4083,Good,47.31,Moderate,Medium-Term
47.6,High,3823,Good,58.17,Moderate,Medium-Term
94.9,Moderate,1848,Moderate,64.2,High,Short-Term
98.8,Very High,611,Moderate,77.65,High,Short-Term
97.9,Moderate,543,Good,60.33,High,Short-Term
95.3,Very High,2310,Moderate,80.76,Critical,Immediate
8.4,Low,2343,Moderate,20.62,Low,Monitor
87.4,Very High,3538,Poor,81.42,Critical,Immediate
89.3,Moderate,540,Good,57.73,Moderate,Medium-Term
42.9,High,1447,Good,43.89,Moderate,Medium-Term
41.9,Very High,4486,Poor,78.4,High,Short-Term
96.6,Very High,3005,Poor,88.21,Critical,Immediate
82.3,Moderate,737,Poor,62.19,High,Short-Term
61.7,High,2692,Good,52.27,Moderate,Medium-Term
45.9,Moderate,4191,Moderate,49.15,Moderate,Medium-Term
97.0,Very High,2252,Poor,87.77,Critical,Immediate
98.8,Moderate,3780,Poor,84.96,Critical,Immediate
9.7,Moderate,1637,Moderate,35.58,Low,Monitor
77.4,Very High,1870,Moderate,65.93,High,Short-Term
19.1,Low,3133,Moderate,26.48,Low,Monitor
89.7,Low,4188,Poor,76.38,High,Short-Term
41.4,High,2985,Poor,60.49,High,Short-Term
97.4,High,1028,Good,63.04,High,Short-Term
37.3,Moderate,4546,Moderate,51.85,Moderate,Medium-Term
84.5,Very High,2420,Poor,82.43,Critical,Immediate
92.5,Low,817,Good,39.57,Low,Monitor
1.6,Very High,949,Moderate,44.36,Moderate,Medium-Term
62.4,Low,3738,Poor,58.34,Moderate,Medium-Term
3.3,High,3545,Good,36.41,Low,Monitor
45.5,Very High,1037,Good,57.27,Moderate,Medium-Term
95.1,High,3900,Moderate,85.41,Critical,Immediate
64.5,Very High,162,Moderate,63.74,High,Short-Term
50.8,High,2266,Moderate,62.26,High,Short-Term
79.5,Very High,2078,Good,74.04,High,Short-Term
41.5,Low,315,Good,30.94,Low,Monitor
84.1,High,2845,Good,73.66,High,Short-Term
99.3,Moderate,4652,Moderate,70.94,High,Short-Term
64.4,Low,4833,Moderate,50.93,Moderate,Medium-Term
63.6,Moderate,3402,Moderate,58.65,Moderate,Medium-Term
43.7,Low,1134,Poor,33.97,Low,Monitor
57.7,Very High,2231,Poor,64.91,High,Short-Term
32.2,Low,864,Good,24.23,Low,Monitor
62.9,Moderate,327,Poor,54.39,Moderate,Medium-Term
92.1,Low,4784,Moderate,58.77,Moderate,Medium-Term
73.4,Very High,3033,Good,65.16,High,Short-Term
89.8,High,1687,Poor,78.88,High,Short-Term
72.6,Very High,2233,Poor,68.42,High,Short-Term
8.3,Moderate,289,Poor,39.57,Low,Monitor
86.7,Low,3861,Poor,60.0,High,Short-Term
14.2,High,1579,Good,30.03,Low,Monitor
84.5,Moderate,3301,Good,60.64,High,Short-Term
2.2,Low,4085,Poor,30.58,Low,Monitor
68.7,Very High,2668,Poor,82.5,Critical,Immediate
80.9,Moderate,2547,Good,62.96,High,Short-Term
66.0,Low,1060,Moderate,50.24,Moderate,Medium-Term
48.4,Low,1397,Poor,46.65,Moderate,Medium-Term
92.7,Moderate,342,Poor,53.93,Moderate,Medium-Term
51.2,Moderate,1871,Moderate,41.74,Moderate,Medium-Term
21.7,High,1235,Good,31.37,Low,Monitor
69.2,Moderate,2292,Moderate,55.6,Moderate,Medium-Term
95.3,High,4617,Poor,83.78,Critical,Immediate
74.5,Very High,3672,Poor,89.15,Critical,Immediate
92.2,High,1516,Good,66.82,High,Short-Term
88.7,High,3318,Good,71.16,High,Short-Term
76.6,High,1457,Good,65.4,High,Short-Term
48.8,Very High,3571,Poor,76.56,High,Short-Term
81.6,Low,3237,Moderate,51.71,Moderate,Medium-Term
35.3,Low,3781,Good,44.21,Moderate,Medium-Term
95.8,High,4907,Moderate,79.86,High,Short-Term
82.7,High,3362,Good,61.72,High,Short-Term
80.9,Very High,1623,Moderate,66.74,High,Short-Term
21.5,High,3147,Good,50.08,Moderate,Medium-Term
12.2,High,189,Poor,37.54,Low,Monitor
46.5,High,2005,Poor,52.61,Moderate,Medium-Term
28.4,Moderate,4419,Good,39.27,Low,Monitor
27.8,Low,4801,Poor,47.93,Moderate,Medium-Term
75.6,High,2722,Good,58.0,Moderate,Medium-Term
80.3,Very High,483,Moderate,64.78,High,Short-Term
12.4,Moderate,2777,Poor,41.33,Moderate,Medium-Term
57.6,High,246,Poor,60.92,High,Short-Term
57.6,Low,3882,Moderate,44.79,Moderate,Medium-Term
96.7,Low,4470,Poor,64.6,High,Short-Term
64.5,Low,3949,Good,54.15,Moderate,Medium-Term
41.5,High,2350,Moderate,57.98,Moderate,Medium-Term
40.0,High,4145,Poor,58.58,Moderate,Medium-Term
29.8,Very High,4141,Poor,75.71,High,Short-Term
12.1,High,941,Good,29.08,Low,Monitor
82.5,Moderate,961,Moderate,61.0,High,Short-Term
72.4,Moderate,1494,Good,44.38,Moderate,Medium-Term
90.2,High,4503,Good,82.03,Critical,Immediate
86.8,High,452,Good,50.46,Moderate,Medium-Term
30.4,High,2797,Poor,58.88,Moderate,Medium-Term
81.2,High,1495,Good,61.24,High,Short-Term
12.0,High,1312,Poor,50.9,Moderate,Medium-Term
96.6,Very High,3760,Poor,84.06,Critical,Immediate
52.8,Very High,4114,Moderate,68.09,High,Short-Term
73.1,Moderate,852,Moderate,55.75,Moderate,Medium-Term
71.1,High,4675,Good,71.63,High,Short-Term
73.5,Moderate,739,Good,54.23,Moderate,Medium-Term
6.0,Low,1870,Moderate,29.68,Low,Monitor
18.8,Low,2888,Good,33.65,Low,Monitor
76.2,High,2654,Poor,71.8,High,Short-Term
15.4,Low,1165,Good,27.22,Low,Monitor
38.6,Very High,4306,Good,66.71,High,Short-Term
18.8,High,3565,Good,49.32,Moderate,Medium-Term
95.1,Low,1306,Moderate,59.53,Moderate,Medium-Term
74.5,Moderate,235,Moderate,44.51,Moderate,Medium-Term
2.9,Very High,2983,Moderate,42.84,Moderate,Medium-Term
55.0,High,3634,Good,53.7,Moderate,Medium-Term
50.2,High,535,Moderate,46.07,Moderate,Medium-Term
9.8,Very High,3561,Good,45.87,Moderate,Medium-Term
40.3,High,4438,Poor,67.01,High,Short-Term
43.4,Low,2139,Good,29.76,Low,Monitor
5.3,Low,4812,Moderate,31.92,Low,Monitor
53.2,High,1955,Poor,64.88,High,Short-Term
40.5,Very High,929,Good,53.13,Moderate,Medium-Term
88.0,High,4156,Good,67.66,High,Short-Term
20.4,High,4984,Moderate,60.82,High,Short-Term
9.4,Very High,2601,Poor,50.76,Moderate,Medium-Term
31.5,Low,1465,Good,24.69,Low,Monitor
45.5,Low,3987,Moderate,44.21,Moderate,Medium-Term
17.8,High,730,Good,37.52,Low,Monitor
85.3,High,3981,Poor,73.05,High,Short-Term
87.3,Very High,996,Good,71.14,High,Short-Term
56.7,High,1970,Poor,63.03,High,Short-Term
75.5,Low,919,Moderate,49.96,Moderate,Medium-Term
33.6,Very High,2973,Poor,61.02,High,Short-Term
48.6,High,3858,Good,63.18,High,Short-Term
30.1,High,4342,Poor,68.86,High,Short-Term
90.2,Very High,1023,Moderate,74.63,High,Short-Term
72.8,Low,1311,Moderate,51.42,Moderate,Medium-Term
65.9,Moderate,3026,Moderate,50.16,Moderate,Medium-Term
57.8,Very High,3044,Good,67.82,High,Short-Term
19.4,Very High,984,Moderate,52.76,Moderate,Medium-Term
67.9,Very High,4416,Good,69.17,High,Short-Term
67.9,High,3303,Poor,70.91,High,Short-Term
99.4,High,1661,Good,68.2,High,Short-Term
70.2,Low,3650,Moderate,55.24,Moderate,Medium-Term
79.3,High,2462,Good,70.61,High,Short-Term
49.9,Moderate,3920,Poor,55.3,Moderate,Medium-Term
96.7,Moderate,2587,Moderate,63.3,High,Short-Term
80.0,Low,3818,Good,49.25,Moderate,Medium-Term
82.5,Low,535,Moderate,42.91,Moderate,Medium-Term
43.0,Low,508,Moderate,26.28,Low,Monitor
87.9,Moderate,804,Poor,58.06,Moderate,Medium-Term
99.6,Moderate,3639,Poor,83.86,Critical,Immediate
29.1,Low,3976,Moderate,37.07,Low,Monitor
67.9,Very High,3561,Moderate,81.48,Critical,Immediate
9.8,High,2574,Poor,45.95,Moderate,Medium-Term
56.4,High,4836,Good,67.51,High,Short-Term
20.0,Moderate,3510,Poor,43.98,Moderate,Medium-Term
30.5,High,4742,Poor,64.27,High,Short-Term
18.3,Very High,886,Good,41.88,Moderate,Medium-Term
69.4,High,3936,Moderate,68.87,High,Short-Term
42.1,Very High,3878,Good,68.35,High,Short-Term
2.6,Very High,824,Good,37.55,Low,Monitor
30.2,Moderate,4854,Poor,55.71,Moderate,Medium-Term
62.1,High,538,Moderate,47.9,Moderate,Medium-Term
67.0,Very High,4343,Moderate,82.25,Critical,Immediate
8.5,High,976,Moderate,38.39,Low,Monitor
82.2,Very High,2814,Good,65.47,High,Short-Term
58.5,Low,1779,Poor,42.15,Moderate,Medium-Term
74.0,Very High,1217,Good,68.59,High,Short-Term
64.0,Moderate,2564,Poor,57.38,Moderate,Medium-Term
98.9,Low,4072,Poor,74.15,High,Short-Term
11.5,Low,1353,Poor,35.77,Low,Monitor
52.0,Moderate,1773,Good,42.87,Moderate,Medium-Term
83.3,Very High,3300,Good,80.68,Critical,Immediate
30.0,Very High,1607,Good,53.9,Moderate,Medium-Term
54.7,Very High,1109,Moderate,53.92,Moderate,Medium-Term
2.2,Moderate,2071,Good,27.23,Low,Monitor
70.0,Moderate,4000,Moderate,59.64,Moderate,Medium-Term
66.8,Very High,3109,Poor,73.47,High,Short-Term
38.6,Low,3900,Moderate,49.13,Moderate,Medium-Term
14.8,High,3844,Good,47.09,Moderate,Medium-Term
1.1,High,379,Poor,39.56,Low,Monitor
65.7,Very High,449,Moderate,68.19,High,Short-Term
46.8,Very High,2368,Good,65.06,High,Short-Term
35.8,Moderate,2957,Poor,52.51,Moderate,Medium-Term
51.3,Moderate,1340,Moderate,48.3,Moderate,Medium-Term
56.3,Very High,1247,Moderate,65.25,High,Short-Term
65.8,Very High,658,Poor,66.65,High,Short-Term
96.3,Moderate,4818,Poor,87.57,Critical,Immediate
77.5,High,1160,Poor,64.21,High,Short-Term
95.5,High,4888,Poor,93.51,Critical,Immediate
6.8,Low,1403,Good,12.03,Low,Monitor
10.6,Very High,2751,Good,53.91,Moderate,Medium-Term
80.9,Moderate,963,Good,53.82,Moderate,Medium-Term
38.4,Very High,627,Good,49.24,Moderate,Medium-Term
11.4,Low,3717,Moderate,35.56,Low,Monitor
84.1,Moderate,2730,Good,61.53,High,Short-Term
37.8,Moderate,1703,Moderate,42.4,Moderate,Medium-Term
67.9,Moderate,1748,Poor,53.1,Moderate,Medium-Term
81.4,Moderate,804,Poor,51.85,Moderate,Medium-Term
96.0,Low,1767,Good,56.13,Moderate,Medium-Term
89.3,High,3442,Poor,81.02,Critical,Immediate
7.2,Moderate,4426,Moderate,37.76,Low,Monitor
20.7,Very High,4202,Moderate,57.75,Moderate,Medium-Term
90.0,Moderate,650,Moderate,55.44,Moderate,Medium-Term
37.6,Low,4762,Good,36.75,Low,Monitor
51.7,Low,1066,Moderate,33.05,Low,Monitor
60.1,High,284,Good,52.81,Moderate,Medium-Term
29.0,High,3298,Poor,56.32,Moderate,Medium-Term
87.2,Moderate,2459,Good,58.91,Moderate,Medium-Term
24.1,High,3370,Poor,50.08,Moderate,Medium-Term
69.8,Low,4874,Moderate,65.92,High,Short-Term
98.5,Low,364,Moderate,49.67,Moderate,Medium-Term
20.1,Low,1241,Good,23.25,Low,Monitor
73.4,Low,2030,Moderate,41.98,Moderate,Medium-Term
94.8,Low,2933,Good,62.61,High,Short-Term
59.8,Low,4617,Moderate,61.55,High,Short-Term
27.1,Low,952,Good,23.74,Low,Monitor
22.5,High,3634,Moderate,49.26,Moderate,Medium-Term
85.0,Moderate,275,Good,41.27,Moderate,Medium-Term
78.2,Moderate,4476,Poor,78.78,High,Short-Term
68.2,Low,4626,Moderate,50.2,Moderate,Medium-Term
76.6,Moderate,3620,Poor,67.87,High,Short-Term
13.8,Very High,1066,Poor,58.06,Moderate,Medium-Term
36.8,Moderate,2910,Moderate,53.71,Moderate,Medium-Term
23.8,Low,4921,Good,34.14,Low,Monitor
74.7,Low,222,Poor,43.28,Moderate,Medium-Term
5.7,Low,1138,Moderate,16.44,Low,Monitor
4.4,High,2100,Moderate,34.02,Low,Monitor
39.8,Low,729,Good,23.35,Low,Monitor
54.4,Very High,3024,Good,61.74,High,Short-Term
30.3,High,4617,Moderate,64.97,High,Short-Term
24.4,High,2712,Poor,55.3,Moderate,Medium-Term
10.4,High,3465,Poor,59.96,Moderate,Medium-Term
48.6,Low,1767,Good,40.04,Moderate,Medium-Term
52.1,High,4629,Good,56.21,Moderate,Medium-Term
72.5,Moderate,393,Good,48.12,Moderate,Medium-Term
65.0,Very High,1035,Good,58.37,Moderate,Medium-Term
3.4,High,4918,Moderate,47.67,Moderate,Medium-Term
96.5,Low,2386,Poor,61.71,High,Short-Term
1.9,Very High,3251,Moderate,42.38,Moderate,Medium-Term
20.6,Moderate,3631,Poor,42.32,Moderate,Medium-Term
30.5,High,312,Poor,51.24,Moderate,Medium-Term
33.6,High,4941,Good,61.14,High,Short-Term
34.1,Very High,3602,Poor,74.45,High,Short-Term
75.2,Low,4632,Moderate,67.09,High,Short-Term
93.2,High,4480,Moderate,79.32,High,Short-Term
71.9,High,1431,Moderate,60.37,High,Short-Term
99.3,Moderate,1180,Good,53.96,Moderate,Medium-Term
68.3,High,800,Good,56.95,Moderate,Medium-Term
29.6,Very High,416,Poor,49.66,Moderate,Medium-Term
26.9,High,201,Good,32.63,Low,Monitor
66.1,High,1564,Moderate,58.79,Moderate,Medium-Term
44.0,Very High,403,Moderate,52.69,Moderate,Medium-Term
84.4,Moderate,3447,Good,62.6,High,Short-Term
8.0,High,624,Moderate,30.18,Low,Monitor
76.6,High,2226,Moderate,59.75,Moderate,Medium-Term
63.0,Moderate,506,Good,35.9,Low,Monitor
3.9,Very High,4850,Moderate,49.44,Moderate,Medium-Term
71.7,Low,2222,Moderate,41.24,Moderate,Medium-Term
84.5,High,4527,Poor,75.65,High,Short-Term
23.5,Low,734,Poor,30.51,Low,Monitor
51.1,Moderate,1771,Moderate,48.6,Moderate,Medium-Term
82.9,Very High,684,Poor,71.82,High,Short-Term
28.3,Low,2775,Poor,45.87,Moderate,Medium-Term
33.5,Very High,3169,Moderate,67.48,High,Short-Term
29.4,Low,1413,Moderate,23.65,Low,Monitor
93.0,Low,970,Poor,52.06,Moderate,Medium-Term
31.3,High,1860,Moderate,53.68,Moderate,Medium-Term
3.3,Moderate,3221,Poor,35.05,Low,Monitor
7.7,Moderate,4731,Poor,57.34,Moderate,Medium-Term
63.0,Very High,4515,Poor,75.3,High,Short-Term
87.8,Low,3969,Poor,67.25,High,Short-Term
44.1,High,1697,Poor,54.16,Moderate,Medium-Term
24.4,Moderate,3065,Good,38.09,Low,Monitor
74.8,Low,2074,Moderate,53.2,Moderate,Medium-Term
88.0,High,752,Moderate,64.78,High,Short-Term
7.6,High,4066,Poor,49.86,Moderate,Medium-Term
78.6,Moderate,4764,Good,71.38,High,Short-Term
24.5,Very High,4890,Poor,63.6,High,Short-Term
26.0,High,2898,Moderate,44.58,Moderate,Medium-Term
40.9,Moderate,4818,Moderate,58.21,Moderate,Medium-Term
77.3,Moderate,3819,Good,55.0,Moderate,Medium-Term
41.9,Very High,927,Good,55.78,Moderate,Medium-Term
83.4,Low,1467,Good,39.68,Low,Monitor
86.7,Very High,3559,Moderate,74.62,High,Short-Term
69.7,Moderate,2503,Good,49.8,Moderate,Medium-Term
82.5,High,4945,Poor,85.78,Critical,Immediate
99.4,Low,704,Poor,64.59,High,Short-Term
95.0,Very High,3784,Poor,95.0,Critical,Immediate
28.9,Very High,1202,Poor,51.11,Moderate,Medium-Term
76.6,Low,1347,Good,44.2,Moderate,Medium-Term
37.0,Very High,3207,Moderate,60.8,High,Short-Term
50.9,High,893,Good,43.65,Moderate,Medium-Term
34.1,Very High,2436,Moderate,55.83,Moderate,Medium-Term
75.7,Moderate,443,Poor,62.14,High,Short-Term
73.1,Very High,4352,Moderate,80.19,Critical,Immediate
61.5,Low,2945,Moderate,42.95,Moderate,Medium-Term
28.8,Very High,3695,Good,62.53,High,Short-Term
28.8,High,969,Good,42.12,Moderate,Medium-Term
14.1,Moderate,4623,Poor,55.26,Moderate,Medium-Term
2.7,Low,4522,Poor,44.06,Moderate,Medium-Term
0.7,Low,3127,Good,19.76,Low,Monitor
94.8,Very High,3744,Poor,83.43,Critical,Immediate
45.4,Low,1082,Moderate,41.44,Moderate,Medium-Term
49.3,Low,1220,Moderate,40.84,Moderate,Medium-Term
11.6,High,747,Poor,46.99,Moderate,Medium-Term
72.7,High,1383,Poor,63.6,High,Short-Term
45.3,Low,2678,Good,36.0,Low,Monitor
93.2,High,1659,Poor,77.09,High,Short-Term
87.8,Low,165,Good,36.08,Low,Monitor
37.6,Moderate,1702,Moderate,41.99,Moderate,Medium-Term
48.5,Moderate,4169,Moderate,50.26,Moderate,Medium-Term
63.5,Low,4329,Poor,63.78,High,Short-Term
0.3,Low,4119,Poor,38.61,Low,Monitor
71.0,Low,3525,Poor,55.41,Moderate,Medium-Term
38.0,Moderate,2956,Moderate,48.11,Moderate,Medium-Term
95.4,High,1999,Moderate,74.08,High,Short-Term
49.0,Very High,4997,Moderate,73.83,High,Short-Term
29.5,Moderate,1020,Moderate,35.62,Low,Monitor
44.7,Moderate,3580,Good,42.79,Moderate,Medium-Term
95.6,Low,2947,Poor,63.87,High,Short-Term
12.8,Very High,4107,Poor,60.75,High,Short-Term
23.5,High,2294,Poor,48.09,Moderate,Medium-Term
85.1,Very High,598,Poor,77.78,High,Short-Term
26.2,High,3468,Moderate,57.98,Moderate,Medium-Term
42.5,High,547,Moderate,46.83,Moderate,Medium-Term
21.9,Low,2627,Moderate,31.73,Low,Monitor
57.3,Moderate,4491,Good,60.49,High,Short-Term
11.0,High,1158,Poor,44.37,Moderate,Medium-Term
95.0,Low,3206,Good,61.06,High,Short-Term
33.3,High,4629,Good,58.15,Moderate,Medium-Term
51.9,High,4486,Good,69.37,High,Short-Term
83.8,Very High,1978,Moderate,78.06,High,Short-Term
91.1,High,3486,Good,72.18,High,Short-Term
24.9,Low,395,Good,24.87,Low,Monitor
52.7,Very High,4072,Good,60.74,High,Short-Term
30.1,Moderate,2125,Good,33.39,Low,Monitor
12.4,Very High,3382,Good,54.46,Moderate,Medium-Term
87.7,Low,726,Good,44.17,Moderate,Medium-Term
70.3,Very High,265,Good,61.04,High,Short-Term
54.2,Moderate,882,Poor,51.66,Moderate,Medium-Term
39.1,High,2751,Moderate,54.89,Moderate,Medium-Term
2.3,High,3859,Good,35.33,Low,Monitor
96.9,Very High,3184,Moderate,81.52,Critical,Immediate
22.2,Very High,4695,Moderate,62.28,High,Short-Term
90.8,Moderate,3232,Good,70.6,High,Short-Term
72.8,High,4577,Poor,72.77,High,Short-Term
22.4,Low,3355,Good,30.91,Low,Monitor
47.7,Low,2644,Moderate,36.57,Low,Monitor
63.0,Low,881,Poor,40.53,Moderate,Medium-Term
86.5,Very High,4961,Good,74.96,High,Short-Term
40.3,Very High,4387,Poor,78.33,High,Short-Term
76.1,Low,4142,Moderate,56.79,Moderate,Medium-Term
74.1,Moderate,399,Moderate,53.05,Moderate,Medium-Term
59.9,Low,2296,Poor,45.75,Moderate,Medium-Term
56.2,Very High,4569,Moderate,70.96,High,Short-Term
65.2,High,3879,Poor,73.32,High,Short-Term
55.5,Low,960,Moderate,41.46,Moderate,Medium-Term
37.6,Low,1427,Poor,43.09,Moderate,Medium-Term
16.6,Very High,1031,Good,47.6,Moderate,Medium-Term
49.5,Very High,1245,Poor,69.55,High,Short-Term
41.8,Low,2530,Good,34.22,Low,Monitor
29.4,High,4380,Moderate,59.65,Moderate,Medium-Term
37.2,Moderate,1259,Moderate,40.93,Moderate,Medium-Term
20.4,High,4354,Poor,55.83,Moderate,Medium-Term
46.3,High,1208,Good,46.93,Moderate,Medium-Term
82.9,Low,2702,Moderate,49.69,Moderate,Medium-Term
47.0,Low,2654,Poor,42.32,Moderate,Medium-Term
69.4,Very High,2811,Good,60.01,High,Short-Term
46.9,Moderate,646,Moderate,43.68,Moderate,Medium-Term
88.3,High,215,Good,53.66,Moderate,Medium-Term
82.1,Very High,4887,Poor,86.42,Critical,Immediate
62.5,Very High,2186,Poor,72.53,High,Short-Term
65.9,Low,4954,Good,47.03,Moderate,Medium-Term
21.6,Moderate,2253,Poor,37.96,Low,Monitor
79.7,Very High,2804,Poor,84.71,Critical,Immediate
59.2,High,3978,Good,56.82,Moderate,Medium-Term
78.3,Moderate,848,Poor,52.89,Moderate,Medium-Term
16.5,Low,2748,Good,33.61,Low,Monitor
5.2,Very High,3584,Poor,56.96,Moderate,Medium-Term
30.3,Low,2072,Poor,37.43,Low,Monitor
77.4,Very High,3008,Moderate,80.54,Critical,Immediate
31.7,Low,1852,Good,36.13,Low,Monitor
83.4,Moderate,3681,Poor,70.73,High,Short-Term
69.5,High,1085,Poor,70.32,High,Short-Term
65.2,Moderate,307,Moderate,52.24,Moderate,Medium-Term
77.1,High,3574,Good,68.65,High,Short-Term
87.6,Moderate,3233,Moderate,60.95,High,Short-Term
74.8,Low,1704,Moderate,45.78,Moderate,Medium-Term
19.5,High,2790,Good,50.06,Moderate,Medium-Term
91.6,Low,2336,Good,54.26,Moderate,Medium-Term
64.2,Very High,459,Poor,68.83,High,Short-Term
27.4,Low,4787,Good,45.05,Moderate,Medium-Term
92.8,Very High,4116,Good,80.02,Critical,Immediate
87.5,Low,412,Moderate,39.73,Low,Monitor
89.4,Moderate,1549,Good,48.82,Moderate,Medium-Term
83.4,Low,559,Moderate,48.63,Moderate,Medium-Term
6.2,Low,4557,Moderate,43.13,Moderate,Medium-Term
19.4,Low,2825,Poor,43.91,Moderate,Medium-Term
31.6,Moderate,4907,Poor,65.55,High,Short-Term
51.6,Very High,3510,Poor,76.06,High,Short-Term
6.5,Moderate,2284,Good,24.17,Low,Monitor
4.5,Moderate,4240,Moderate,35.8,Low,Monitor
74.7,Low,2649,Moderate,52.71,Moderate,Medium-Term
11.8,Very High,4754,Poor,57.78,Moderate,Medium-Term
93.0,Low,1052,Good,42.18,Moderate,Medium-Term
8.6,High,4942,Poor,65.48,High,Short-Term
76.7,Low,1881,Poor,52.61,Moderate,Medium-Term
8.1,Moderate,2621,Poor,43.35,Moderate,Medium-Term
90.1,Moderate,1187,Moderate,51.63,Moderate,Medium-Term
70.6,Moderate,2385,Good,53.29,Moderate,Medium-Term
41.4,Moderate,2334,Good,36.66,Low,Monitor
29.5,Very High,2267,Good,50.73,Moderate,Medium-Term
57.9,High,4384,Moderate,73.07,High,Short-Term
68.7,Moderate,400,Poor,51.57,Moderate,Medium-Term
53.8,Moderate,3654,Moderate,58.29,Moderate,Medium-Term
68.2,High,1799,Moderate,64.26,High,Short-Term
50.4,High,843,Poor,60.63,High,Short-Term
25.8,Very High,2236,Good,56.22,Moderate,Medium-Term
51.7,Moderate,3992,Good,51.54,Moderate,Medium-Term
32.3,Very High,4920,Good,59.64,Moderate,Medium-Term
10.5,High,164,Good,28.57,Low,Monitor
33.5,Low,1632,Moderate,30.15,Low,Monitor
46.7,Moderate,278,Moderate,44.91,Moderate,Medium-Term
45.6,Very High,3371,Moderate,70.79,High,Short-Term
25.3,High,2867,Moderate,53.18,Moderate,Medium-Term
30.0,Moderate,4253,Good,44.25,Moderate,Medium-Term
77.4,Very High,4958,Good,73.04,High,Short-Term
16.6,High,4989,Poor,68.11,High,Short-Term
19.8,Moderate,1164,Poor,36.67,Low,Monitor
96.0,Low,2633,Good,59.45,Moderate,Medium-Term
45.9,Moderate,3873,Good,52.1,Moderate,Medium-Term
20.0,Moderate,2568,Moderate,33.06,Low,Monitor
23.6,Moderate,3676,Good,44.55,Moderate,Medium-Term
15.4,High,140,Moderate,30.5,Low,Monitor
10.0,Very High,1840,Moderate,49.55,Moderate,Medium-Term
83.1,Moderate,884,Moderate,49.18,Moderate,Medium-Term
76.3,Moderate,3375,Moderate,69.07,High,Short-Term
82.0,Very High,4990,Moderate,85.21,Critical,Immediate
34.7,Low,1916,Poor,34.91,Low,Monitor
23.5,High,2884,Poor,60.18,High,Short-Term
61.1,Very High,732,Poor,61.24,High,Short-Term
50.0,Low,1830,Moderate,38.79,Low,Monitor
34.0,Moderate,3587,Good,40.81,Moderate,Medium-Term
38.7,Very High,385,Moderate,58.43,Moderate,Medium-Term
42.2,Moderate,3362,Poor,56.25,Moderate,Medium-Term
10.6,Low,2936,Poor,39.42,Low,Monitor
65.6,Very High,200,Good,52.36,Moderate,Medium-Term
57.5,Very High,3824,Good,66.7,High,Short-Term
96.0,Very High,3560,Good,76.19,High,Short-Term
25.9,Low,3788,Poor,42.44,Moderate,Medium-Term
47.4,High,4482,Moderate,58.31,Moderate,Medium-Term
17.9,Very High,4455,Moderate,66.02,High,Short-Term
8.0,Low,2861,Poor,35.93,Low,Monitor
19.8,Very High,3662,Good,52.52,Moderate,Medium-Term
4.0,Very High,3870,Moderate,45.68,Moderate,Medium-Term
59.9,High,2167,Moderate,57.03,Moderate,Medium-Term
29.6,Low,4546,Moderate,38.4,Low,Monitor
35.7,Low,3759,Moderate,39.29,Low,Monitor
3.6,Low,3026,Poor,26.2,Low,Monitor
73.9,Moderate,1535,Good,50.57,Moderate,Medium-Term
12.6,Moderate,4142,Moderate,49.76,Moderate,Medium-Term
34.5,Very High,2099,Poor,66.85,High,Short-Term
56.9,Low,726,Moderate,35.78,Low,Monitor
14.7,Low,3228,Poor,45.99,Moderate,Medium-Term
7.9,High,3561,Moderate,39.37,Low,Monitor
